,name,rating,types,reviews,salary,jobs,interviews,Locations
0,TCS,3.3,IT Services & Consulting,1.1L,10.1L,4.4k,11.8k,Bengaluru +441 other locations
1,Accenture,3.7,IT Services & Consulting,73.1k,6.9L,36k,9.3k,Bengaluru +259 other locations
2,Wipro,3.6,IT Services & Consulting,64.8k,4.9L,371,6.8k,Hyderabad +373 other locations
3,Cognizant,3.7,IT Services & Consulting,61.2k,6.1L,469,6.4k,Hyderabad +231 other locations
4,Capgemini,3.6,IT Services & Consulting,53k,4.9L,2.1k,5.5k,Bengaluru +180 other locations
5,HDFC Bank,3.8,Banking,52k,1.5L,301,3k,Mumbai +1844 other locations
6,Infosys,3.5,IT Services & Consulting,48.6k,5.3L,2.2k,8.4k,Bengaluru +243 other locations
7,HCLTech,3.4,IT Services & Consulting,45.8k,3.9L,234,4.5k,Chennai +231 other locations
8,ICICI Bank,4.0,Banking,45.7k,1.5L,14,3k,Mumbai +1442 other locations
9,Tech Mahindra,3.4,IT Services & Consulting,43.1k,2.9L,607,4.6k,Hyderabad +322 other locations
10,Genpact,3.6,Analytics & KPO,42k,2.4L,727,3.9k,Hyderabad +181 other locations
11,TP,3.8,BPO,38.2k,98.2k,1.6k,2.2k,Mumbai +254 other locations
12,Jio,4.4,Telecom,33.5k,62k,--,4.4k,Mumbai +1956 other locations
13,Axis Bank,3.6,Banking,33k,1L,215,1.9k,Mumbai +1516 other locations
14,Concentrix Corporation,3.6,BPO,32.1k,1.3L,9,2k,Bengaluru +181 other locations
15,Amazon,3.9,Internet,31.3k,1.5L,2.6k,5.9k,Bengaluru +515 other locations
16,Reliance Retail,3.9,Retail,27.2k,75.8k,121,2k,Mumbai +1157 other locations
17,iEnergizer,4.6,BPO,26.9k,24.7k,92,1.5k,Noida +51 other locations
18,LTIMindtree,3.6,IT Services & Consulting,26.4k,2L,562,3.5k,Bengaluru +144 other locations
19,IBM,3.9,IT Services & Consulting,25.7k,2.2L,2k,2.6k,Bengaluru +161 other locations
20,HDB Financial Services,3.9,NBFC,25.5k,49.7k,2.1k,1.1k,Mumbai +1090 other locations
21,Larsen & Toubro Limited,3.9,Engineering & Construction,23.8k,75.4k,263,1.9k,Chennai +761 other locations
22,Deloitte,3.7,Management Consulting,23k,2.6L,2k,3.3k,Hyderabad +182 other locations
23,Kotak Mahindra Bank,3.6,Banking,22.3k,86.9k,165,1.4k,Mumbai +689 other locations
24,Reliance Industries,4.0,Oil & Gas,20.1k,73.6k,77,1.6k,Jamnagar +819 other locations
25,Vodafone Idea,3.9,Telecom,17.5k,49.3k,80,693,Pune +704 other locations
26,Bharti Airtel,3.8,Telecom,17k,50.1k,190,1.1k,Gurugram +788 other locations
27,BYJU'S,3.2,EdTech,16.3k,50.7k,1,2.1k,Bengaluru +321 other locations
28,WNS,3.3,IT Services & Consulting,15.2k,70.5k,101,1.3k,Pune +65 other locations
29,IDFC FIRST Bank,3.9,Banking,14.5k,50k,33,967,Mumbai +724 other locations
30,Ernst & Young,3.4,Management Consulting,14.5k,1.5L,5.2k,1.3k,Bengaluru +134 other locations
31,IndusInd Bank,3.4,Banking,14.2k,52.2k,139,773,Mumbai +796 other locations
32,AU Small Finance Bank,3.8,Banking,14.2k,29.8k,222,704,Jaipur +798 other locations
33,Tata Motors,4.1,Automobile,14.1k,43k,181,1.3k,Pune +507 other locations
34,Muthoot FinCorp,4.6,NBFC,13.1k,9.2k,67,2.4k,Bengaluru +1120 other locations
35,Bajaj Finserv,4.0,NBFC,13k,31.2k,2,757,Pune +1190 other locations
36,Flipkart,3.9,Internet,12.9k,55.9k,104,1.7k,Bengaluru +553 other locations
37,PwC,3.3,Management Consulting,12.5k,1.2L,1.2k,1.6k,Bengaluru +135 other locations
38,Mahindra & Mahindra,4.0,Automobile,12k,40.8k,2,877,Pune +565 other locations
39,Infosys BPM,3.5,BPO,12k,76k,62,1.1k,Bengaluru +95 other locations
40,HDFC Life,3.9,Insurance,12k,33.3k,110,807,Mumbai +712 other locations
41,DXC Technology,3.6,IT Services & Consulting,11.9k,74.8k,193,901,Bengaluru +130 other locations
42,Bandhan Bank,3.7,Banking,11k,25.2k,19,758,Kolkata +1007 other locations
43,Digitide Solutions,3.5,IT Services & Consulting,10.3k,27k,328,574,Hyderabad +272 other locations
44,Mphasis,3.3,IT Services & Consulting,10.2k,74.7k,55,936,Bengaluru +64 other locations
45,Yes Bank,3.7,Banking,10.1k,42.6k,198,559,Mumbai +541 other locations
46,Tata Steel,4.0,Iron & Steel,9.8k,34.8k,--,1.1k,Jamshedpur +226 other locations
47,Quess,3.8,Recruitment,9.7k,31.3k,33,547,Bengaluru +755 other locations
48,Asian Paints,3.9,Chemicals,9.5k,26.3k,101,867,Mumbai +556 other locations
49,Maruti Suzuki,4.1,Automobile,9.5k,28.3k,728,791,Gurugram +455 other locations
50,Startek,3.1,BPO,9.4k,25k,275,644,Bengaluru +103 other locations
51,UltraTech Cement,4.2,Building Material,9.4k,25.2k,44,804,Mumbai +538 other locations
52,Paytm,3.2,FinTech,9.3k,34.5k,875,902,Noida +422 other locations
53,Bajaj Finance,3.9,NBFC,9.1k,23.1k,6.5k,441,Pune +993 other locations
54,Shriram Finance,3.9,NBFC,9.1k,15.4k,10,454,Chennai +1117 other locations
55,Sutherland Global Services,3.4,BPO,9k,35.5k,298,804,Chennai +82 other locations
56,Equitas Small Finance Bank,4.4,Banking,8.8k,13.9k,28,1k,Chennai +483 other locations
57,Wells Fargo,3.6,Financial Services,8.6k,62.3k,220,695,Bengaluru +27 other locations
58,EXL Service,3.6,Analytics & KPO,8.6k,44.9k,1.6k,920,Noida +61 other locations
59,Cipla,4.1,Pharma,8.6k,26.4k,34,602,Mumbai +294 other locations
60,Ericsson,3.9,Telecom,8.4k,42.8k,34,475,Noida +160 other locations
61,Samsung,3.9,Consumer Electronics & Appliances,8.3k,26.5k,29,633,Noida +581 other locations
62,Dr. Reddy's,4.0,Pharma,8.2k,26k,14,516,Hyderabad +214 other locations
63,Optum Global Solutions,4.0,IT Services & Consulting,7.9k,50.7k,304,776,Hyderabad +68 other locations
64,JSW Steel,3.9,Iron & Steel,7.8k,31.6k,122,836,Ballari +198 other locations
65,JPMorgan Chase & Co.,3.8,Financial Services,7.8k,90.5k,737,881,Bengaluru +55 other locations
66,Delhivery,3.8,Logistics,7.8k,22.3k,197,616,Gurugram +760 other locations
67,ICICI Prudential Life Insurance,3.9,Insurance,7.7k,22.9k,200,488,Mumbai +508 other locations
68,Hexaware Technologies,3.4,IT Services & Consulting,7.7k,54.9k,379,831,Chennai +69 other locations
69,Ujjivan Small Finance Bank,4.0,Banking,7.6k,13.3k,89,329,Bengaluru +539 other locations
70,Jana Small Finance Bank,3.7,Banking,7.6k,14.6k,47,307,Bengaluru +422 other locations
71,Sun Pharmaceutical Industries,4.1,Pharma,7.6k,23.7k,427,679,Vadodara +263 other locations
72,HGS,3.7,Emerging Technologies,7.5k,20.5k,12,277,Bengaluru +122 other locations
73,Amazon Development Centre India,3.8,Internet,7.5k,39.1k,3,893,Hyderabad +147 other locations
74,Zydus Lifesciences,4.0,Pharma,7.4k,20.1k,44,478,Ahmedabad +180 other locations
75,Ekart Logistics,3.9,Logistics,7.4k,16.7k,3,411,Bengaluru +739 other locations
76,Lupin,4.1,Pharma,7.3k,22.5k,28,448,Pune +203 other locations
77,KPMG India,3.4,Management Consulting,7.3k,68k,108,940,Bengaluru +112 other locations
78,L&T Construction,4.0,Engineering & Construction,7.3k,19.3k,--,951,Chennai +435 other locations
79,Hindustan Unilever,4.2,FMCG,7.2k,20.2k,12,473,Mumbai +543 other locations
80,Axis Max Life Insurance,4.0,Insurance,7.2k,20.2k,156,414,New Delhi +505 other locations
81,ITC,3.9,FMCG,7.1k,24.9k,82,703,Bengaluru +378 other locations
82,Megha Engineering & Infrastructures,3.9,Engineering & Construction,6.9k,18.6k,26,579,Hyderabad +407 other locations
83,Coforge,3.3,IT Services & Consulting,6.8k,50.8k,161,741,Noida +103 other locations
84,Tata Projects,4.2,Engineering & Construction,6.8k,22.7k,43,619,Mumbai +285 other locations
85,Bajaj Life Insurance,3.8,Insurance,6.6k,17.8k,77,451,Pune +616 other locations
86,Cholamandalam Investment & Finance,3.8,Financial Services,6.6k,12.8k,33,292,Chennai +861 other locations
87,L&T Technology Services,3.1,IT Services & Consulting,6.6k,44.3k,--,634,Bengaluru +94 other locations
88,FIS,3.8,FinTech,6.6k,39.2k,159,542,Pune +59 other locations
89,Oracle,3.4,Software Product,6.5k,64.3k,84,955,Bengaluru +56 other locations
90,Omega Healthcare,3.8,BPO,6.4k,27.5k,205,558,Chennai +69 other locations
91,JLL,4.1,Real Estate,6.4k,24.9k,382,494,Gurugram +86 other locations
92,Muthoot Finance,3.7,NBFC,6.3k,13.1k,160,359,Bengaluru +791 other locations
93,IIFL Finance,4.0,NBFC,6.3k,14.1k,53,332,Mumbai +808 other locations
94,eClerx,3.1,IT Services & Consulting,6.3k,32.9k,458,644,Pune +32 other locations
95,Indian Army,4.7,Defence & Aerospace,6.2k,9.4k,--,210,New Delhi +360 other locations
96,Virtusa Consulting Services,3.7,IT Services & Consulting,6.1k,57.3k,677,681,Hyderabad +55 other locations
97,DMart,3.9,Retail,6.1k,19k,251,557,Mumbai +254 other locations
98,HCL Group,3.5,IT Services & Consulting,6.1k,39.2k,--,522,Chennai +96 other locations
99,PolicyBazaar,3.8,Internet,6k,17.9k,1.2k,640,Gurugram +154 other locations
100,HSBC Group,3.8,Financial Services,6k,44.6k,139,554,Bengaluru +63 other locations
